tick,score,bits
39118,10.0,1001011001110100
39119,10.0,1010101100100001
39120,10.0,1010101001111000
39121,10.0,0101111001010010
39122,8.0,0011111010101100
39123,10.0,0101000011010111
39124,10.0,0001100101010001
39125,8.0,0010010110100000
39126,8.0,0101111000110111
39127,6.0,1001111000110011
39128,10.0,1101110010110100
39129,8.0,1000001111010100
39130,10.0,1100110101111010
39131,8.0,0011010010111110
39132,8.0,0110010110111110
39133,8.0,1000010001101100
39134,4.0,0001000000011100
39135,12.0,0010101001011001
39136,4.0,0110011111111000
39137,10.0,1110001010100110
39138,8.0,0111110100010011
39139,6.0,0001101000111100
39140,6.0,1110000111100010
39141,8.0,0100001101100010
39142,6.0,1111000000010110
39143,6.0,1110110111100111
39144,6.0,0010111111110011
39145,8.0,1011001110100000
39146,10.0,1100110101111010
39147,8.0,0011001110100001
39148,6.0,1000001001110001
39149,8.0,0111111100101011
39150,8.0,1000000100101101
39151,8.0,0100100011101000
39152,8.0,0000100110001010
39153,12.0,0101111010101011
39154,10.0,0010101100111001
39155,8.0,0011010001100100
39156,8.0,1011000111110110
39157,8.0,1101000001010111
39158,4.0,1111110000001100
39159,6.0,1001001100000011
39160,8.0,0100111000111010
39161,4.0,0000000000100011
39162,4.0,1110111000001111
39163,4.0,1000100000000011
39164,8.0,0110000001011011
39165,8.0,0010011001000010
39166,4.0,0000100000001100
39167,8.0,1000100110100000
39168,10.0,1010011011001011
39169,12.0,1010010110101001
39170,2.0,0000000000001110
39171,12.0,0100010110110101
39172,8.0,0011001101000110
39173,6.0,1000000000010110
39174,8.0,1111001100010101
39175,10.0,1011100010001010
39176,6.0,1000111001111100
39177,6.0,0000110110111100
39178,8.0,0010000001010100
39179,8.0,0110000110101100
39180,8.0,1000001001101000
39181,8.0,0001100001010001
39182,12.0,0111010001010101
39183,8.0,1000110111100010
39184,6.0,1100001100111011
39185,8.0,1000110111001100
39186,10.0,1000010100110101
39187,8.0,0111001110100010
39188,8.0,1011110001110101
39189,8.0,0110001011001110
39190,6.0,0010010111111100
39191,10.0,0011010010110011
39192,8.0,0110000101001100
39193,6.0,1110111101000011
39194,8.0,1101011101111110
39195,6.0,1000110111110000
39196,8.0,1001011111001000
39197,6.0,1111110011000110
39198,8.0,1011011110110011
39199,8.0,1011000100001101
39200,6.0,1000000001101110
39201,8.0,1000101111110100
39202,10.0,0010011011011010
39203,6.0,0011111110111010
39204,8.0,0001001000100111
39205,6.0,1100100000001001
39206,10.0,1011001101110010
39207,8.0,1101110110011000
39208,2.0,0100000000000000
39209,8.0,0111000101100010
39210,8.0,1011111110100010
39211,8.0,0011011010011100
39212,6.0,0100000010000011
39213,6.0,0001000011000010
39214,8.0,1110101110111110
39215,8.0,1111000101100100
39216,8.0,1100001010001100
39217,12.0,0100101110100101
39218,8.0,0100010100001111
39219,8.0,0010110111000100
39220,12.0,1010101011001100
39221,10.0,0101011001101000
39222,4.0,0000011110000111
39223,6.0,0100111101100000
39224,6.0,1100110001110011
39225,8.0,1100110111001000
39226,4.0,0111111110110000
39227,6.0,1111111010110011
39228,6.0,0011001000100000
39229,10.0,1110110010101110
39230,12.0,1010100011010100
39231,10.0,0100101001101100
39232,10.0,0010100100100111
39233,8.0,1010011011110000
39234,6.0,0000001001100011
39235,8.0,0010010011110110
39236,4.0,0001000000010000
39237,6.0,1000000111011100
39238,8.0,1101000000100100
39239,8.0,0000110010101000
39240,6.0,0011100100001000
39241,12.0,1100010110101010
39242,10.0,1010111001100101
39243,8.0,0000110111101101
39244,4.0,1100001100001111
39245,8.0,1011010000011100
39246,8.0,0111111001011010
39247,8.0,1110101000000101
39248,8.0,1101011100001000
39249,8.0,0100110011110001
39250,12.0,0101000101101011
39251,10.0,1101010110010111
39252,8.0,0110101111111010
39253,10.0,1001000010010110
39254,10.0,0010111010001011
39255,8.0,0110110000010110
39256,8.0,0000101001110001
39257,8.0,1110000100101101
39258,10.0,0110110110001011
39259,8.0,0100001101110001
39260,8.0,1110101101100111
39261,12.0,0111001011010101
39262,6.0,0000101110110000
39263,4.0,1100011100000011
39264,6.0,0000100010000111
39265,4.0,1110001100001111
39266,12.0,1011010100011010
39267,6.0,0011010111111000
39268,10.0,1010010000010100
39269,8.0,1100000110010010
39270,4.0,1000000011100001
39271,8.0,1101001111110100
39272,6.0,0100011111001000
39273,6.0,0000011110011101
39274,6.0,0000100001011100
39275,6.0,0111100111011100
39276,8.0,1000010100011101
39277,8.0,0001010110001100
39278,4.0,1111110111111001
39279,12.0,1010010100100010
39280,12.0,0101010100100110
39281,6.0,0010011001111100
39282,8.0,1110111111010110
