tick,score,bits
58,12.0,1011101010001010
59,6.0,0000011001000010
60,8.0,1101100001001000
61,6.0,1111001000111001
62,8.0,0101110001100100
63,10.0,1011111010110101
64,8.0,1100010110100111
65,10.0,0101111011101011
66,10.0,0101101000111001
67,10.0,1101001011011001
68,6.0,0100001100000110
69,8.0,1100001100100010
70,6.0,0011100010010000
71,10.0,1001001101000100
72,10.0,0110100110001101
73,10.0,1010011001100101
74,8.0,0010111000100100
75,8.0,1010001100001101
76,4.0,1111000000010001
77,6.0,1101000011111011
78,6.0,0111000000001001
79,10.0,1001010000110110
80,6.0,1011000000100011
81,8.0,1110100011110100
82,6.0,0001010011000000
83,10.0,0111000110110101
84,8.0,0111100011101011
85,10.0,0101101000111001
86,6.0,1111100011000110
87,4.0,0111000000000011
88,6.0,1000000000100100
89,6.0,0000001101010000
90,6.0,0011000010011111
91,6.0,1000001001000001
92,8.0,1111010011101110
93,8.0,1111111010100010
94,8.0,0011110111011001
95,8.0,0100100000010001
96,6.0,0000010110100000
97,8.0,1101100110000110
98,10.0,0000101001011001
99,10.0,0010011011001011
100,6.0,1110111110011000
101,6.0,1011110011110001
102,6.0,0001111101001100
103,14.0,1010110100101010
104,10.0,1011010010001100
105,8.0,1010000101100111
106,8.0,0001011101100010
107,8.0,1110110100011000
108,8.0,1111100010100110
109,6.0,1110010011111100
110,10.0,1000101000001010
111,6.0,1101011000000001
112,8.0,1101100011011100
113,8.0,1110010100000110
114,10.0,1001010000101000
115,6.0,1001101000011111
116,8.0,1001111000010101
117,6.0,0010000100111100
118,6.0,0111011100000010
119,12.0,1010100110110110
120,6.0,1100111111101100
121,10.0,1001100110010010
122,6.0,1000000011101110
123,6.0,0100111111101110
124,8.0,1110110101111101
125,10.0,0001011011011101
126,8.0,0111001000011010
127,8.0,1001110010010011
128,8.0,1101100011001001
129,6.0,0101100000100000
130,6.0,0111111011000011
131,10.0,0010101010110000
132,6.0,0111001111001100
133,12.0,1110101011011010
134,8.0,1100001110100010
135,6.0,0010011100001000
