tick,score,bits
29,8.0,1010110100000001
30,10.0,1101111010110100
31,6.0,1110110000011001
32,6.0,0111110011111010
33,8.0,0010010000110001
34,8.0,1000100001100010
35,10.0,1100001011010100
36,10.0,0111001101101101
37,10.0,0010100100110100
38,8.0,0100001001100001
39,6.0,0100011101100000
40,6.0,1111000011011000
41,6.0,1101000000110000
42,8.0,0001000111010001
43,10.0,0101110111101010
44,6.0,0001000000001010
45,8.0,1101000111011100
46,10.0,0101101111010111
47,10.0,1000010100110100
48,6.0,1100110100000011
49,10.0,1010001001111010
50,8.0,0100101111000010
51,12.0,0101001101001101
52,8.0,1100011100110100
53,10.0,1010110100010001
54,10.0,0101110001001101
55,8.0,1110011100101101
56,6.0,1110001111101011
57,8.0,1011000101011111
58,8.0,0100110101111110
59,6.0,1111011011000111
60,8.0,0001100111101010
61,12.0,0100100100101101
62,4.0,0010001100000000
63,10.0,0110011101001101
64,6.0,1100101000001111
65,10.0,1001011010011110
66,8.0,0110010000010111
67,8.0,1001101100000110
68,10.0,0101001011101000
69,8.0,1111011001111010
70,8.0,1110111010100000
71,8.0,0110111100100010
72,8.0,1000110011001110
73,6.0,0110011001111111
74,8.0,0100101000010000
75,10.0,0110101001100110
76,6.0,1111100110100001
77,6.0,1111010001111101
78,10.0,1110110010010010
79,8.0,0010110100001100
80,10.0,1010010100010000
81,6.0,1110111100110000
82,10.0,0011000101010001
83,6.0,0000011010001000
84,8.0,0100010011011110
85,6.0,0001100010100000
86,8.0,1001110011100010
87,8.0,1101000001001001
88,6.0,0110111110001111
89,8.0,0001000010100111
90,10.0,1011100001010100
91,6.0,0010001000001111
92,10.0,0100100001010001
93,8.0,0101110000001011
94,8.0,0011101001000001
95,10.0,1000101001011000
96,8.0,0110001101101000
97,6.0,1101111111110101
98,8.0,1001000011001000
99,6.0,0001100110000010
100,10.0,1010011110101101
101,6.0,1000000010001001
102,6.0,1110110000010001
103,6.0,1110011100001001
104,10.0,1010101001111001
105,6.0,1011000000001100
106,8.0,0011011101111011
107,8.0,1100011101101100
108,6.0,0111100000000101
109,8.0,1101000101000000
110,8.0,1001001100011011
111,8.0,0001101001011111
112,8.0,0000010100010011
113,8.0,0100011100010100
114,8.0,0110101100011000
115,8.0,1001010000000100
116,6.0,0001111110010010
117,10.0,0101101000001011
118,10.0,0011011010100001
119,6.0,0111111011110110
120,10.0,0110000110110101
121,10.0,1101000010110110
122,8.0,0101111000111101
123,8.0,1011100010010000
124,8.0,0001011101000001
125,6.0,0001000111001100
126,8.0,0001010110001000
127,8.0,0100010000001101
128,8.0,1100110100110011
129,8.0,0100001101100001
130,8.0,0100111100111001
131,8.0,1010010011100001
132,10.0,0010110011100101
133,6.0,0000110100000010
134,6.0,1110111000000010
135,8.0,1000011001000101
136,10.0,1010010001000101
137,8.0,0000101000011010
138,12.0,1001010100110100
139,8.0,1011011111001011
140,6.0,0011100011000001
141,10.0,1000101001100010
142,4.0,0000110000111111
143,10.0,0011001010100001
144,8.0,1001001000111000
145,6.0,0000100010111110
146,10.0,1010110110000101
147,8.0,1110010111001100
148,6.0,0001101100011111
149,10.0,1101010100011011
150,6.0,0010000011110111
151,8.0,1101110001000100
152,10.0,1011011011000110
153,8.0,1101101000111011
154,6.0,1101110011100011
155,6.0,1001100000011100
156,8.0,0011110011011001
157,8.0,1010110011011111
158,8.0,0011111010010010
159,6.0,1001000000011101
160,12.0,1010010100010101
161,6.0,1001100111100111
162,6.0,0001110000011010
163,10.0,1100110010010101
164,8.0,0001110001011001
165,4.0,0100000000000001
166,10.0,0001001011000101
167,6.0,1111001110100011
168,8.0,0111000110011001
169,6.0,0011111110011011
170,8.0,0010111100101000
171,6.0,0001110001000110
172,8.0,1011111011100010
173,6.0,0011100000101100
174,6.0,0010111111010000
175,8.0,0011000011110101
176,8.0,0111001011000110
177,8.0,0010011101101100
178,10.0,1000110100101001
179,10.0,0111010011100101
180,4.0,0000000011110110
181,12.0,1010010100101000
182,8.0,0010100000100010
183,6.0,0111100011000011
184,8.0,0100110001001111
185,10.0,1011011100010110
186,10.0,0100101001101000
187,8.0,1100100011100101
188,8.0,1010110100000111
189,8.0,0110100001110100
190,8.0,1111010001101100
191,8.0,1000111010100111
192,6.0,0100000100100000
193,10.0,1011101001101110
194,10.0,1000001010001010
195,8.0,0101000011111010
196,8.0,1101001001111110
197,8.0,0110000010100110
198,6.0,1111000000101110
199,8.0,1111010011001011
200,6.0,1111100001101100
201,12.0,1010010010110010
202,8.0,1100011000010010
203,6.0,1011111001011111
204,10.0,1010000001010100
205,12.0,0010101001010001
206,6.0,0011100110011111
207,4.0,1000000001100001
208,8.0,0001001010011100
209,10.0,1011001010110001
210,8.0,1110101111011000
211,6.0,0011011101110000
212,10.0,0101101011000111
213,10.0,0111010100010100
214,6.0,0010111101000000
215,8.0,0111101011011000
216,10.0,1011000011011010
217,8.0,1011011001100011
218,8.0,0010011001000110
219,8.0,0000111011010100
220,6.0,1000100110000000
221,10.0,1010001011001000
222,6.0,1000010001100001
223,8.0,0011001110100100
224,10.0,1011010011101110
225,8.0,1011010001000001
226,6.0,1010000011110111
227,12.0,0010101001101001
228,6.0,1110111110111001
229,4.0,1111011110011111
230,10.0,0010101000110110
231,8.0,1001001111101100
232,10.0,0010101010011000
233,10.0,1010110110011110
234,8.0,1110101110110000
235,6.0,0110000000110100
236,6.0,1111001010000111
237,6.0,0000000101110001
238,8.0,1011000111001100
239,8.0,0101100110000110
240,8.0,1110101100011100
241,10.0,1010100000101110
242,10.0,0010011010000101
243,8.0,0110100001110010
244,4.0,0011000000011100
245,10.0,0010101110110100
246,6.0,1011000000011110
247,6.0,0001000110111110
248,10.0,0100010101101100
249,4.0,0110000010000000
250,8.0,1000100011011100
251,12.0,1001000101010100
252,10.0,1110101101000010
253,10.0,1011101011010111
254,8.0,0101110001111010
255,8.0,0001100100110100
256,10.0,1011111010010110
257,4.0,0011000011111100
258,6.0,1110001100011101
259,10.0,1001011101110101
260,8.0,0100100001100110
261,8.0,1011011111100010
262,8.0,1100010110000010
263,6.0,0000110110000100
264,8.0,1110111110110101
265,6.0,1111010011111101
266,6.0,0001100000100100
267,6.0,1000111111011001
268,8.0,0000101001000001
269,6.0,1101110011000000
270,10.0,0110011010001011
271,8.0,0010011010000111
272,6.0,0011101100011100
273,8.0,1111101011101101
274,10.0,0011100101001010
275,4.0,0111100001111100
276,10.0,0011001010100100
277,6.0,1000000100000100
278,6.0,0100111000001110
279,10.0,0110110111010110
280,12.0,0100101101000101
281,8.0,0100000010011101
282,8.0,1011110000110010
283,6.0,1010000000011110
284,10.0,0101111010100010
285,8.0,1101000110011011
286,8.0,1101110010111101
287,10.0,0011011011010001
288,8.0,1101110010011101
